og_id,consensus_product,total_member_count,total_organism_count,proc_strains,proc_members,proc_hypo_members,frac_hypo
cyanorak:CK_00001107,ATP synthase beta chain,21,21,17,17,0,0.0
cyanorak:CK_00001106,co-chaperonin GroES,21,21,17,17,0,0.0
cyanorak:CK_00008054,chaperonin GroEL,21,21,17,17,0,0.0
cyanorak:CK_00036301,"preprotein translocase, SecG subunit",21,21,17,17,0,0.0
cyanorak:CK_00001104,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",21,21,17,17,0,0.0
cyanorak:CK_00001102,chaperone protein DnaK,21,21,17,17,0,0.0
cyanorak:CK_00001101,DNA-directed RNA polymerase omega subunit,21,21,17,17,0,0.0
cyanorak:CK_00001100,conserved hypothetical protein,21,21,17,17,0,0.0
cyanorak:CK_00043382,conserved hypothetical protein (DUF2811),22,21,17,18,0,0.0
cyanorak:CK_00001099,EVE domain protein,21,21,17,17,0,0.0
cyanorak:CK_00042284,cupin domain-containing protein,33,21,17,28,0,0.0
cyanorak:CK_00002025,high light inducible protein,41,17,17,41,0,0.0
cyanorak:CK_00000339,HNH endonuclease family protein,22,21,17,18,0,0.0
cyanorak:CK_00000881,"lipopolysaccharide export system, permease component",21,21,17,17,0,0.0
cyanorak:CK_00001875,delta-12 fatty acid desaturase DesA2,19,19,17,17,0,0.0
cyanorak:CK_00000736,putative SOS response associated peptidase,21,21,17,17,0,0.0
cyanorak:CK_00000868,drug/metabolite transporter (DMT) superfamily efflux protein,21,21,17,17,0,0.0
cyanorak:CK_00000352,"flavoprotein, HI0933 family",21,21,17,17,0,0.0
cyanorak:CK_00000943,conserved hypothetical protein,21,21,17,17,0,0.0
cyanorak:CK_00001580,conserved hypothetical protein,21,21,17,17,0,0.0
cyanorak:CK_00001098,UDP-N-acetylmuramoylalanine--D-glutamate ligase,21,21,17,17,0,0.0
cyanorak:CK_00000398,short-chain dehydrogenase/reductase (SDR) superfamily,21,21,17,17,0,0.0
cyanorak:CK_00001097,photosystem II S4 domain protein,21,21,17,17,0,0.0
