locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_13410,,methyl-accepting chemotaxis protein,day 89,0.7616547080831209,0.213640915546145,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01495,cheB,protein-glutamate methylesterase/protein-glutamine glutaminase,day 31,-0.757974499695908,0.1227736209444142,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05025,flgG,flagellar basal-body rod protein FlgG,day 31,-0.7547678949493213,0.316885760903007,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04995,cheR,CheR family methyltransferase,day 89,-0.7526640880577926,1.6652214700618857e-07,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05225,fliQ,flagellar biosynthesis protein FliQ,day 89,0.7506346923962214,0.1806980061123581,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01745,,methyl-accepting chemotaxis protein,day 31,-0.7339511064106751,0.0228951677315571,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05280,cheA,chemotaxis protein CheA,day 89,-0.7335791469125187,0.0515302051659961,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_13410,,methyl-accepting chemotaxis protein,days 60+89,0.7258486433321616,0.1468867388379721,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05180,fliH,flagellar assembly protein FliH,day 89,-0.7256646161869386,0.1622551763965402,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05250,flhA,flagellar biosynthesis protein FlhA,day 18,0.7084171014766049,0.3713744932275181,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05280,cheA,chemotaxis protein CheA,day 31,-0.7054515143033924,0.0634904132998826,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
