cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00790,Folate biosynthesis,5,19,5/578,1.0130213075942451,0.5741666963498293,0.8723424126602439,-0.05931301192572331
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko02024,Quorum sensing,8,31,8/578,0.993414443576292,0.5777708345722703,0.8723424126602439,-0.05931301192572331
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko02025,Biofilm formation - Pseudomonas aeruginosa,5,19,5/578,1.0130213075942451,0.5741666963498293,0.8723424126602439,-0.05931301192572331
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05200,Pathways in cancer,2,7,2/578,1.0998517053880377,0.5793916024385203,0.8723424126602439,-0.05931301192572331
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko03060,Protein export,3,12,3/578,0.9623702422145328,0.6395693274259162,0.94178340522058,-0.026048966350958363
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05208,Chemical carcinogenesis - reactive oxygen species,3,12,3/578,0.9623702422145328,0.6395693274259162,0.94178340522058,-0.026048966350958363
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00760,Nicotinate and nicotinamide metabolism,2,8,2/578,0.9623702422145328,0.6572373441194722,0.946987140989347,-0.023655918182878016
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00907,"Pinene, camphor and geraniol degradation",2,8,2/578,0.9623702422145328,0.6572373441194722,0.946987140989347,-0.023655918182878016
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00310,Lysine degradation,3,13,3/578,0.8883417620441841,0.6968595236324093,0.9887141517006809,-0.004929249639215574
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00350,Tyrosine metabolism,2,9,2/578,0.8554402153018069,0.7230894542288562,0.9887141517006809,-0.004929249639215574
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko02040,Flagellar assembly,5,22,5/578,0.8748820383768482,0.7142352803939336,0.9887141517006809,-0.004929249639215574
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko04112,Cell cycle - Caulobacter,2,9,2/578,0.8554402153018069,0.7230894542288562,0.9887141517006809,-0.004929249639215574
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05418,Fluid shear stress and atherosclerosis,2,9,2/578,0.8554402153018069,0.7230894542288562,0.9887141517006809,-0.004929249639215574
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00071,Fatty acid degradation,1,22,1/578,0.17497640767536962,0.9987115885918478,1.0,0.0
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,1,11,1/578,0.34995281535073924,0.9637575165753418,1.0,0.0
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00280,"Valine, leucine and isoleucine degradation",5,30,5/578,0.6415801614763553,0.9223336805038675,1.0,0.0
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00330,Arginine and proline metabolism,5,24,5/578,0.8019752018454441,0.7875188038267242,1.0,0.0
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00362,Benzoate degradation,1,9,1/578,0.42772010765090346,0.9336564267623294,1.0,0.0
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00410,beta-Alanine metabolism,1,11,1/578,0.34995281535073924,0.9637575165753418,1.0,0.0
