reference_class,substrate,carrier_family,tier,n_systems,experiment_label,omics,arm,timepoint,module_percentile,q
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,co d60+89,rnaseq,coculture,days 60+89,0.9804915125411705,0.7235276472352765
ambiguous-TonB,catecholate siderophore,other,single-gene,2,co d60+89,rnaseq,coculture,days 60+89,0.8431720293894097,0.7235276472352765
ambiguous-TonB,energy transducer TonB,other,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.8649607296681023,0.527604382418901
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.2571573346845706,0.8202859714028596
control-ABC,iron(III),ABC-subunit,multi-subunit,1,ax d18,rnaseq,axenic,day 18,0.456549277932607,0.8316589393692209
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,ax d18,rnaseq,axenic,day 18,0.7869267798327844,0.5336466353364664
control-ABC,phosphate,ABC-subunit,multi-subunit,1,ax d18,rnaseq,axenic,day 18,0.6977451228781353,0.7576117388261174
control-ABC,sodium,ABC-subunit,single-gene,1,ax d18,rnaseq,axenic,day 18,0.42462629845452243,0.8316589393692209
control-ABC,iron complex,ABC-subunit,multi-subunit,3,ax d18,rnaseq,axenic,day 18,0.7055991892576641,0.8316589393692209
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,ax d18,rnaseq,axenic,day 18,0.750950088674943,0.6139957432828146
control-ABC,molybdate,ABC-subunit,multi-subunit,1,ax d18,rnaseq,axenic,day 18,0.5378768685077274,0.8316589393692209
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,ax d18,rnaseq,axenic,day 18,0.28173296174309603,0.9244646963875041
control-ABC,phosphonate,ABC-subunit,single-gene,1,ax d18,rnaseq,axenic,day 18,0.03470990625791741,0.9642035796420358
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,ax d18,rnaseq,axenic,day 18,0.8087154801114771,0.8316589393692209
control-ABC,solute:Na+,SSS,single-gene,3,ax d18,rnaseq,axenic,day 18,0.9789713706612617,0.48271172882711727
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,ax d18,rnaseq,axenic,day 18,0.4570559918925766,0.8316589393692209
control-ABC,serine/threonine,APC,single-gene,1,ax d18,rnaseq,axenic,day 18,0.9505953889029642,0.48271172882711727
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,ax d18,rnaseq,axenic,day 18,0.41347859133519127,0.9642035796420358
control-ABC,bile acid:Na+,SSS,single-gene,1,ax d18,rnaseq,axenic,day 18,0.41829237395490243,0.8316589393692209
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,ax d18,rnaseq,axenic,day 18,0.5958956169242463,0.8316589393692209
control-TonB,outer-membrane,other,single-gene,1,ax d18,rnaseq,axenic,day 18,0.061565746136306054,0.9642035796420358
control-TonB,TonB-dependent,other,single-gene,12,ax d18,rnaseq,axenic,day 18,0.9982265011401064,0.48271172882711727
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,ax d18,rnaseq,axenic,day 18,0.9921459336204712,0.48271172882711727
control-TonB,outer membrane,other,single-gene,1,ax d18,rnaseq,axenic,day 18,0.036483405117810994,0.9642035796420358
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,ax d18,rnaseq,axenic,day 18,0.9766911578413985,0.8316589393692209
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,ax d18,rnaseq,axenic,day 18,0.9171522675449708,0.8316589393692209
ambiguous-TonB,outer membrane,exporter,single-gene,1,ax d18,rnaseq,axenic,day 18,0.28933367114263997,0.9244646963875041
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,ax d18,rnaseq,axenic,day 18,0.954649100582721,0.8316589393692209
ambiguous-TonB,catecholate siderophore,other,single-gene,2,ax d18,rnaseq,axenic,day 18,0.23638206232581707,0.9642035796420358
ambiguous-TonB,energy transducer TonB,other,single-gene,1,ax d18,rnaseq,axenic,day 18,0.9300734735241956,0.48271172882711727
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,ax d18,rnaseq,axenic,day 18,0.045604256397263745,0.9642035796420358
control-ABC,iron(III),ABC-subunit,multi-subunit,1,ax d31,rnaseq,axenic,day 31,0.22422092728654675,0.8972102789721028
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,ax d31,rnaseq,axenic,day 31,0.7884469217126931,0.6164383561643835
control-ABC,phosphate,ABC-subunit,multi-subunit,1,ax d31,rnaseq,axenic,day 31,0.5903217633645806,0.8333166683331666
control-ABC,sodium,ABC-subunit,single-gene,1,ax d31,rnaseq,axenic,day 31,0.3260704332404358,0.8972102789721028
control-ABC,iron complex,ABC-subunit,single-gene,3,ax d31,rnaseq,axenic,day 31,0.6584747909804916,0.8972102789721028
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,ax d31,rnaseq,axenic,day 31,0.7129465416772232,0.6164383561643835
