locus_tag,strain,route,product,value,og_group_id,og_level,og_product
MIT1002_02130,Alteromonas macleodii MIT1002,vesicle,"cytochrome-c oxidase, cbb3-type subunit II",0.4,eggnog:464XG@72275,Alteromonadaceae,"cytochrome-c oxidase, cbb3-type subunit II"
MIT1002_02394,Alteromonas macleodii MIT1002,vesicle,glyceraldehyde-3-phosphate dehydrogenase,0.4,eggnog:465BD@72275,Alteromonadaceae,glyceraldehyde-3-phosphate dehydrogenase
MIT1002_02422,Alteromonas macleodii MIT1002,vesicle,alkaline phosphatase PhoX,0.4,eggnog:4661S@72275,Alteromonadaceae,alkaline phosphatase PhoX
MIT1002_02756,Alteromonas macleodii MIT1002,vesicle,nucleoid-associated protein HU-beta,0.4,eggnog:467ZY@72275,Alteromonadaceae,nucleoid-associated protein HU-beta
MIT1002_03036,Alteromonas macleodii MIT1002,vesicle,SapC family protein,0.4,eggnog:465QK@72275,Alteromonadaceae,SapC family protein
MIT1002_03488,Alteromonas macleodii MIT1002,vesicle,Na(+)-translocating NADH-quinone reductase subunit A,0.4,eggnog:464YM@72275,Alteromonadaceae,Na(+)-translocating NADH-quinone reductase subunit A
MIT1002_03817,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S18,0.4,eggnog:467T8@72275,Alteromonadaceae,30S ribosomal protein S18
MIT1002_02993,Alteromonas macleodii MIT1002,vesicle,phosphoglycerate dehydrogenase,0.3,eggnog:464BH@72275,Alteromonadaceae,phosphoglycerate dehydrogenase
MIT1002_03330,Alteromonas macleodii MIT1002,vesicle,FMN-dependent L-lactate dehydrogenase LldD,0.3,eggnog:464WN@72275,Alteromonadaceae,FMN-dependent L-lactate dehydrogenase LldD
MIT1002_03598,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S14,0.3,eggnog:467UW@72275,Alteromonadaceae,30S ribosomal protein S14
MIT1002_03732,Alteromonas macleodii MIT1002,vesicle,DNA-directed RNA polymerase subunit beta^,0.3,eggnog:46403@72275,Alteromonadaceae,DNA-directed RNA polymerase subunit beta^
MIT1002_04007,Alteromonas macleodii MIT1002,vesicle,FKBP-type peptidyl-prolyl cis-trans isomerase,0.3,eggnog:46CFF@72275,Alteromonadaceae,FKBP-type peptidyl-prolyl cis-trans isomerase
AMBLS11_15985,Alteromonas macleodii BS11,vesicle,TonB-dependent receptor,7.1,eggnog:46A4N@72275,Alteromonadaceae,TonB-dependent receptor
AMBLS11_16165,Alteromonas macleodii BS11,vesicle,elongation factor Tu,4.9,eggnog:4651Q@72275,Alteromonadaceae,elongation factor Tu
AMBLS11_05325,Alteromonas macleodii BS11,vesicle,MotA/TolQ/ExbB proton channel family protein,3.1,eggnog:4641Y@72275,Alteromonadaceae,MotA/TolQ/ExbB proton channel family protein
AMBLS11_05320,Alteromonas macleodii BS11,vesicle,DUF3450 domain-containing protein,2.9,eggnog:4643A@72275,Alteromonadaceae,DUF3450 domain-containing protein
AMBLS11_13055,Alteromonas macleodii BS11,vesicle,isocitrate lyase,2.0,eggnog:4659E@72275,Alteromonadaceae,isocitrate lyase
AMBLS11_18940,Alteromonas macleodii BS11,vesicle,F0F1 ATP synthase subunit alpha,1.8,eggnog:464BU@72275,Alteromonadaceae,F0F1 ATP synthase subunit alpha
AMBLS11_04495,Alteromonas macleodii BS11,vesicle,DUF3192 domain-containing protein,1.6,eggnog:467SV@72275,Alteromonadaceae,DUF3192 domain-containing protein
AMBLS11_08920,Alteromonas macleodii BS11,vesicle,ADP-forming succinate--CoA ligase subunit beta,1.6,eggnog:46480@72275,Alteromonadaceae,ADP-forming succinate--CoA ligase subunit beta
AMBLS11_17365,Alteromonas macleodii BS11,vesicle,OmpA family protein,1.5,eggnog:466H7@72275,Alteromonadaceae,OmpA family protein
AMBLS11_18930,Alteromonas macleodii BS11,vesicle,F0F1 ATP synthase subunit beta,1.5,eggnog:465I5@72275,Alteromonadaceae,F0F1 ATP synthase subunit beta
AMBLS11_16405,Alteromonas macleodii BS11,vesicle,50S ribosomal protein L5,1.4,eggnog:464A7@72275,Alteromonadaceae,50S ribosomal protein L5
AMBLS11_11110,Alteromonas macleodii BS11,vesicle,DUF839 domain-containing protein,1.3,eggnog:4661S@72275,Alteromonadaceae,alkaline phosphatase PhoX
AMBLS11_03230,Alteromonas macleodii BS11,vesicle,TonB-dependent receptor plug domain-containing protein,1.1,eggnog:464ZU@72275,Alteromonadaceae,TonB-dependent receptor domain-containing protein
AMBLS11_06950,Alteromonas macleodii BS11,vesicle,elongation factor G,1.1,eggnog:464WS@72275,Alteromonadaceae,elongation factor G
AMBLS11_03520,Alteromonas macleodii BS11,vesicle,30S ribosomal protein S9,1.0,eggnog:466SE@72275,Alteromonadaceae,30S ribosomal protein S9
AMBLS11_08885,Alteromonas macleodii BS11,vesicle,citrate synthase,1.0,eggnog:464XQ@72275,Alteromonadaceae,citrate synthase
AMBLS11_RS17290,Alteromonas macleodii BS11,vesicle,50S ribosomal protein L7/L12,0.9,eggnog:46787@72275,Alteromonadaceae,50S ribosomal protein L7/L12
AMBLS11_00250,Alteromonas macleodii BS11,vesicle,50S ribosomal protein L28,0.8,eggnog:467R5@72275,Alteromonadaceae,50S ribosomal protein L28
AMBLS11_01750,Alteromonas macleodii BS11,vesicle,30S ribosomal protein S3,0.8,eggnog:46670@72275,Alteromonadaceae,30S ribosomal protein S3
AMBLS11_07900,Alteromonas macleodii BS11,vesicle,acyl carrier protein,0.8,eggnog:467SY@72275,Alteromonadaceae,acyl carrier protein
AMBLS11_08905,Alteromonas macleodii BS11,vesicle,succinate dehydrogenase iron-sulfur subunit,0.8,eggnog:4658G@72275,Alteromonadaceae,succinate dehydrogenase iron-sulfur subunit
AMBLS11_08925,Alteromonas macleodii BS11,vesicle,succinate--CoA ligase subunit alpha,0.8,eggnog:4652M@72275,Alteromonadaceae,succinate--CoA ligase subunit alpha
AMBLS11_12180,Alteromonas macleodii BS11,vesicle,"6,7-dimethyl-8-ribityllumazine synthase",0.7,eggnog:466GG@72275,Alteromonadaceae,"6,7-dimethyl-8-ribityllumazine synthase"
AMBLS11_16095,Alteromonas macleodii BS11,vesicle,DcaP family trimeric outer membrane transporter,0.7,eggnog:4654M@72275,Alteromonadaceae,DcaP family trimeric outer membrane transporter
AMBLS11_17040,Alteromonas macleodii BS11,vesicle,50S ribosomal protein L10,0.7,eggnog:469TE@72275,Alteromonadaceae,50S ribosomal protein L10
AMBLS11_04555,Alteromonas macleodii BS11,vesicle,30S ribosomal protein S2,0.6,eggnog:46443@72275,Alteromonadaceae,30S ribosomal protein S2
AMBLS11_08635,Alteromonas macleodii BS11,vesicle,polyribonucleotide nucleotidyltransferase,0.6,eggnog:4651T@72275,Alteromonadaceae,polyribonucleotide nucleotidyltransferase
AMBLS11_11670,Alteromonas macleodii BS11,vesicle,phasin family protein,0.6,eggnog:46978@72275,Alteromonadaceae,phasin-related domain-containing protein
AMBLS11_13190,Alteromonas macleodii BS11,vesicle,XrtA/PEP-CTERM system exopolysaccharide export protein,0.6,eggnog:464WW@72275,Alteromonadaceae,XrtA/PEP-CTERM system exopolysaccharide export protein
AMBLS11_13880,Alteromonas macleodii BS11,vesicle,DUF481 domain-containing protein,0.6,eggnog:465TR@72275,Alteromonadaceae,DUF481 domain-containing protein
AMBLS11_16355,Alteromonas macleodii BS11,vesicle,30S ribosomal protein S13,0.6,eggnog:467N1@72275,Alteromonadaceae,30S ribosomal protein S13
AMBLS11_16415,Alteromonas macleodii BS11,vesicle,50S ribosomal protein L14,0.6,eggnog:466RM@72275,Alteromonadaceae,50S ribosomal protein L14
AMBLS11_01735,Alteromonas macleodii BS11,vesicle,50S ribosomal protein L2,0.5,eggnog:464EJ@72275,Alteromonadaceae,50S ribosomal protein L2
AMBLS11_02400,Alteromonas macleodii BS11,vesicle,adenylosuccinate synthase,0.5,eggnog:464CH@72275,Alteromonadaceae,adenylosuccinate synthase
AMBLS11_03655,Alteromonas macleodii BS11,vesicle,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.5,eggnog:46522@72275,Alteromonadaceae,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
AMBLS11_05345,Alteromonas macleodii BS11,vesicle,tetratricopeptide repeat protein,0.5,eggnog:464J9@72275,Alteromonadaceae,tetratricopeptide repeat protein
AMBLS11_05975,Alteromonas macleodii BS11,vesicle,50S ribosomal protein L19,0.5,eggnog:466X0@72275,Alteromonadaceae,50S ribosomal protein L19
AMBLS11_06155,Alteromonas macleodii BS11,vesicle,peptidoglycan-associated lipoprotein Pal,0.5,eggnog:46793@72275,Alteromonadaceae,peptidoglycan-associated lipoprotein Pal
